Date,Open,High,Low,Close
05/13/2022,"28,572","30,994","27,968","29,800"
05/12/2022,"28,315","30,079","25,805","28,572"
05/11/2022,"30,960","32,075","28,233","28,315"
05/10/2022,"31,076","32,624","29,842","30,960"
05/09/2022,"34,604","34,604","30,416","31,076"
05/08/2022,"35,775","35,816","33,766","34,604"
05/07/2022,"36,074","36,140","35,749","35,775"
05/06/2022,"36,432","36,648","35,387","36,074"
05/05/2022,"39,780","39,860","35,690","36,432"
05/04/2022,"37,633","39,890","37,633","39,780"
05/03/2022,"38,321","38,854","37,543","37,633"
05/02/2022,"38,196","39,108","38,102","38,321"
05/01/2022,"38,332","38,660","37,510","38,196"
04/30/2022,"38,559","38,776","38,201","38,332"
04/29/2022,"39,928","39,989","38,213","38,559"
04/28/2022,"39,095","40,338","38,877","39,928"
04/27/2022,"38,128","39,451","37,746","39,095"
04/26/2022,"40,140","40,748","37,757","38,128"
04/25/2022,"39,539","40,316","38,292","40,140"
04/24/2022,"39,794","39,937","39,046","39,539"
04/23/2022,"39,597","39,974","39,331","39,794"
04/22/2022,"40,647","40,842","39,214","39,597"
04/21/2022,"41,435","42,949","40,647","40,647"
04/20/2022,"41,300","42,202","40,935","41,435"
04/19/2022,"40,665","41,750","40,609","41,300"
04/18/2022,"40,295","40,911","38,639","40,665"
04/17/2022,"40,356","40,712","39,927","40,295"
04/16/2022,"40,404","40,657","40,044","40,356"
04/15/2022,"39,896","40,727","39,807","40,409"
04/14/2022,"41,245","41,476","39,626","39,896"
04/13/2022,"39,536","41,499","39,498","41,245"
04/12/2022,"39,850","40,641","39,301","39,536"
04/11/2022,"43,147","43,242","39,629","39,850"
04/10/2022,"42,459","43,398","42,430","43,154"
04/09/2022,"42,808","42,859","42,138","42,459"
04/08/2022,"43,573","43,962","42,557","42,750"
04/07/2022,"43,905","44,002","42,784","43,573"
04/06/2022,"45,707","46,042","43,343","43,898"
04/05/2022,"46,304","47,158","45,593","45,707"
04/04/2022,"46,391","47,367","45,174","46,304"
04/03/2022,"46,208","46,766","45,580","46,391"
04/02/2022,"46,175","47,183","45,681","46,208"
04/01/2022,"45,760","46,696","44,310","46,175"
03/31/2022,"47,232","47,573","45,542","45,760"
03/30/2022,"47,470","47,705","46,645","47,232"
03/29/2022,"47,944","48,103","47,002","47,406"
03/28/2022,"46,105","48,174","45,912","47,944"
03/27/2022,"44,608","46,402","44,289","46,073"
03/26/2022,"44,600","44,801","44,131","44,608"
03/25/2022,"43,914","45,097","43,641","44,564"
03/24/2022,"42,350","44,215","42,276","43,914"
03/23/2022,"42,611","42,863","41,809","42,350"
