sequence,symbol,ask_price,partitionKey,time_exchange,bid_size,id,ts,ask_size,bid_price
843518,QUOTE_COINBASE_SPOT_BTC_USDT,16859.76,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:06.920014Z,0.05933814,e37f9170-16db-4d9b-814f-20a08f30b99d,2023-01-04T16:38:06.978777100Z,0.08,16858.87
843528,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:07.385442Z,0.03794989,84fc7f5e-fc45-4a6f-87c5-3aa5a87aad34,2023-01-04T16:38:07.444063800Z,0.01,16859.76
843532,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:07.917096Z,0.03794989,a6e068ed-66d5-42e7-9bb1-c52bc35ad239,2023-01-04T16:38:07.979444200Z,0.01,16860.01
843537,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:08.346902Z,0.004,1ef80b67-7d89-4729-8602-3b650760a1f6,2023-01-04T16:38:08.418239300Z,0.01,16860.03
843542,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:08.740311Z,0.03794989,b68a5ec9-61bd-447a-a545-7baccf4f0e71,2023-01-04T16:38:08.801272300Z,0.01,16860.03
843555,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:09.147986Z,0.0312,025f5cab-eddb-47d8-89b7-50fffb2f2b76,2023-01-04T16:38:09.229702900Z,0.01,16860.26
843556,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:09.605846Z,0.05933329,c4c95e01-f92b-44f1-b639-81aed9a49023,2023-01-04T16:38:09.666892Z,0.01,16860.25
843562,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:10.078342Z,0.05933329,13d9d72d-c748-414a-b999-0b9b45024f35,2023-01-04T16:38:10.138019500Z,0.01,16860.25
843568,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:11.088695Z,0.05933329,0aebe087-e5cc-439c-8bf0-b6c77ced2403,2023-01-04T16:38:11.146971400Z,0.01,16860.25
843571,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:11.744205Z,0.03794989,ef481559-d1ce-4a52-8400-6f3e13ec362e,2023-01-04T16:38:11.805748600Z,0.01,16860.39
843572,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:12.007374Z,0.004,30a22197-dfcc-4abf-a277-297051905c9a,2023-01-04T16:38:12.069900700Z,0.01,16860.4
843587,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:12.790385Z,0.004,61ae48e8-c1e7-4261-9ec8-60ff0fce5205,2023-01-04T16:38:12.857042400Z,0.01,16860.26
843601,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:13.325014Z,0.004,f4f1233e-dd61-489e-ad00-bac0bfd4ba6d,2023-01-04T16:38:13.387610600Z,0.01,16860.27
843605,QUOTE_COINBASE_SPOT_BTC_USDT,16861.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T16:38:14.403365Z,0.004,fef7548a-e752-4dbc-9706-fbd0005bd32a,2023-01-04T16:38:14.462252300Z,0.01,16860.32
